network,autonomous_system_number,autonomous_system_organization
1.0.0.0/24,13335,CLOUDFLARENET
1.0.4.0/22,38803,"Gtelecom Pty Ltd"
1.0.16.0/24,2519,"ARTERIA Networks Corporation"
1.0.64.0/18,18144,"Enecom,Inc."
1.0.128.0/19,23969,"TOT Public Company Limited"
1.0.160.0/22,23969,"TOT Public Company Limited"
1.0.164.0/28,23969,"TOT Public Company Limited"
1.0.164.16/30,23969,"TOT Public Company Limited"
1.0.164.20/31,23969,"TOT Public Company Limited"
1.0.164.23/32,23969,"TOT Public Company Limited"
1.0.164.24/29,23969,"TOT Public Company Limited"
1.0.164.32/27,23969,"TOT Public Company Limited"
1.0.164.64/26,23969,"TOT Public Company Limited"
1.0.164.128/25,23969,"TOT Public Company Limited"
1.0.165.0/24,23969,"TOT Public Company Limited"
1.0.166.0/23,23969,"TOT Public Company Limited"
1.0.168.0/21,23969,"TOT Public Company Limited"
1.0.176.0/20,23969,"TOT Public Company Limited"
1.0.192.0/22,23969,"TOT Public Company Limited"
1.0.196.0/23,23974,"Ministry of education"
1.0.198.0/23,23969,"TOT Public Company Limited"
1.0.200.0/21,23969,"TOT Public Company Limited"
1.0.208.0/20,23969,"TOT Public Company Limited"
1.0.224.0/19,23969,"TOT Public Company Limited"
1.1.1.0/24,13335,CLOUDFLARENET
1.1.8.0/24,138421,"China Unicom"
1.1.64.0/19,2519,"ARTERIA Networks Corporation"
1.1.96.0/20,2519,"ARTERIA Networks Corporation"
1.1.112.0/21,2519,"ARTERIA Networks Corporation"
1.1.120.0/22,2519,"ARTERIA Networks Corporation"
1.1.124.0/23,2519,"ARTERIA Networks Corporation"
1.1.126.0/24,2519,"ARTERIA Networks Corporation"
1.1.128.0/17,23969,"TOT Public Company Limited"
1.2.4.0/24,24151,"China Internet Network Infomation Center"
1.2.128.0/19,23969,"TOT Public Company Limited"
1.2.160.0/20,23969,"TOT Public Company Limited"
1.2.176.0/21,23969,"TOT Public Company Limited"
1.2.184.0/22,23969,"TOT Public Company Limited"
1.2.188.0/23,23969,"TOT Public Company Limited"
1.2.190.0/29,23969,"TOT Public Company Limited"
1.2.190.8/30,23969,"TOT Public Company Limited"
1.2.190.12/31,23969,"TOT Public Company Limited"
1.2.190.15/32,23969,"TOT Public Company Limited"
1.2.190.16/28,23969,"TOT Public Company Limited"
1.2.190.32/27,23969,"TOT Public Company Limited"
1.2.190.64/26,23969,"TOT Public Company Limited"
1.2.190.128/25,23969,"TOT Public Company Limited"
