network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider,postal_code,latitude,longitude,accuracy_radius,is_anycast
1.0.0.0/24,,2077456,,0,0,,,,,
1.0.1.0/24,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.0.2.0/23,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.0.4.0/22,2077456,2077456,,0,0,,-33.4940,143.2104,1000,
1.0.8.0/21,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.0.16.0/20,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.0.32.0/19,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.0.64.0/20,1862415,1861060,,0,0,730-0851,34.3998,132.4503,10,
1.0.80.0/20,1857550,1861060,,0,0,690-2101,35.4785,133.0489,100,
1.0.96.0/20,1857550,1861060,,0,0,690-0871,35.4785,133.0489,100,
1.0.112.0/20,1857550,1861060,,0,0,690-0871,35.4785,133.0489,50,
1.0.128.0/20,1614295,1605651,,0,0,20150,13.0508,100.9367,50,
1.0.144.0/20,1154689,1605651,,0,0,84310,9.4639,100.0484,200,
1.0.160.0/22,1151254,1605651,,0,0,83000,7.9500,98.3564,100,
1.0.164.0/28,1151254,1605651,,0,0,83000,7.9500,98.3564,100,
1.0.164.16/30,1151254,1605651,,0,0,83000,7.9500,98.3564,100,
1.0.164.20/31,1151254,1605651,,0,0,83000,7.9500,98.3564,100,
1.0.164.23/32,1151254,1605651,,0,0,83000,7.9500,98.3564,100,
1.0.164.24/29,1151254,1605651,,0,0,83000,7.9500,98.3564,100,
1.0.164.32/27,1151254,1605651,,0,0,83000,7.9500,98.3564,100,
1.0.164.64/26,1151254,1605651,,0,0,83000,7.9500,98.3564,100,
1.0.164.128/25,1151254,1605651,,0,0,83000,7.9500,98.3564,100,
1.0.165.0/24,1151254,1605651,,0,0,83000,7.9500,98.3564,100,
1.0.166.0/23,1151254,1605651,,0,0,83000,7.9500,98.3564,100,
1.0.168.0/21,1151254,1605651,,0,0,83000,7.9500,98.3564,100,
1.0.176.0/20,1154689,1605651,,0,0,84310,9.4639,100.0484,200,
1.0.192.0/20,1606418,1605651,,0,0,18000,14.5476,100.8977,500,
1.0.208.0/20,1606418,1605651,,0,0,18000,14.5476,100.8977,200,
1.0.224.0/20,1605239,1605651,,0,0,41000,17.4158,102.7849,50,
1.0.240.0/20,1152633,1605651,,0,0,81000,8.1206,99.0209,50,
1.1.0.0/24,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.1.1.0/24,,2077456,,0,0,,,,,
1.1.2.0/23,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.1.4.0/22,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.1.8.0/21,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.1.16.0/20,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.1.32.0/19,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.1.64.0/19,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.96.0/20,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.112.0/21,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.120.0/22,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.124.0/24,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.125.0/27,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.125.32/28,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.125.48/30,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.125.52/32,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.125.53/32,1850147,1861060,,0,0,102-0082,35.6893,139.6899,20,
1.1.125.54/32,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.125.55/32,1850147,1861060,,0,0,102-0082,35.6893,139.6899,20,
1.1.125.56/30,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.125.60/31,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.125.62/31,1850147,1861060,,0,0,102-0082,35.6893,139.6899,20,
1.1.125.64/28,1850147,1861060,,0,0,102-0082,35.6893,139.6899,20,
1.1.125.80/29,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.125.88/31,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.125.90/32,1850147,1861060,,0,0,102-0082,35.6893,139.6899,20,
1.1.125.91/32,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.125.92/32,1850147,1861060,,0,0,102-0082,35.6893,139.6899,20,
1.1.125.93/32,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.125.94/31,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.125.96/27,1850147,1861060,,0,0,102-0082,35.6893,139.6899,20,
1.1.125.128/25,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.126.0/23,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.1.128.0/19,1609350,1605651,,0,0,10330,13.7749,100.5197,500,
1.1.160.0/20,1153671,1605651,,0,0,50180,18.9129,98.9413,50,
1.1.176.0/20,1609350,1605651,,0,0,10330,13.7749,100.5197,5,
1.1.192.0/20,1609071,1605651,,0,0,42000,17.4809,101.7184,100,
1.1.208.0/20,1608529,1605651,,0,0,30000,15.0598,102.2215,200,
1.1.224.0/19,1608529,1605651,,0,0,30000,15.0598,102.2215,200,
1.2.0.0/23,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.2.2.0/24,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.2.3.0/24,2077456,2077456,,0,0,,-33.4940,143.2104,1000,
1.2.4.0/22,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.2.8.0/21,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.2.16.0/20,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.2.32.0/19,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.2.64.0/18,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.2.128.0/20,1609776,1605651,,0,0,40000,16.2916,102.6161,100,
1.2.144.0/20,1605239,1605651,,0,0,41000,17.4158,102.7849,200,
1.2.160.0/20,1607708,1605651,,0,0,65000,16.8358,100.2518,100,
1.2.176.0/21,1607532,1605651,,0,0,,14.2834,100.5042,200,
1.2.184.0/22,1607532,1605651,,0,0,,14.2834,100.5042,200,
1.2.188.0/23,1607532,1605651,,0,0,,14.2834,100.5042,200,
1.2.190.0/29,1607532,1605651,,0,0,,14.2834,100.5042,200,
1.2.190.8/30,1607532,1605651,,0,0,,14.2834,100.5042,200,
1.2.190.12/31,1607532,1605651,,0,0,,14.2834,100.5042,200,
1.2.190.15/32,1607532,1605651,,0,0,,14.2834,100.5042,200,
1.2.190.16/28,1607532,1605651,,0,0,,14.2834,100.5042,200,
1.2.190.32/27,1607532,1605651,,0,0,,14.2834,100.5042,200,
1.2.190.64/26,1607532,1605651,,0,0,,14.2834,100.5042,200,
1.2.190.128/25,1607532,1605651,,0,0,,14.2834,100.5042,200,
1.2.191.0/24,1607532,1605651,,0,0,,14.2834,100.5042,200,
1.2.192.0/20,1605221,1605651,,0,0,61000,15.3834,100.0297,100,
1.2.208.0/20,1609350,1605651,,0,0,10260,13.6687,100.5790,20,
1.2.224.0/20,1606030,1605651,,0,0,32000,14.8798,103.4925,200,
1.2.240.0/20,1607708,1605651,,0,0,65000,16.8358,100.2518,100,
1.3.0.0/16,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.4.0.0/24,2077456,2077456,,0,0,,-33.4940,143.2104,1000,
1.4.1.0/24,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.4.2.0/23,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.4.4.0/22,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.4.8.0/21,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.4.16.0/20,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.4.32.0/19,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.4.64.0/18,1814991,1814991,,0,0,,34.7732,113.7220,1000,
1.4.128.0/20,1605239,1605651,,0,0,41000,17.4158,102.7849,100,
1.4.144.0/20,1609350,1605651,,0,0,10310,13.7749,100.5197,20,
1.4.160.0/20,1609350,1605651,,0,0,10260,13.6687,100.5790,20,
1.4.176.0/20,1600239,1605651,,0,0,,16.1697,103.1137,100,
1.4.192.0/19,1609350,1605651,,0,0,10220,13.8638,100.5998,50,
1.4.224.0/20,1605239,1605651,,0,0,41290,17.1350,102.9720,50,
1.4.240.0/20,1604870,1605651,,0,0,95000,6.5409,101.2806,500,
1.5.0.0/16,1861060,1861060,,0,0,,35.6900,139.6900,500,
1.6.0.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.2.0/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.2.128/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.2.192/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.2.224/30,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.2.228/31,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.2.230/32,1264527,1269750,,0,0,600113,13.0895,80.2739,20,
1.6.2.231/32,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.2.232/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.2.240/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.3.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.4.0/22,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.8.0/21,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.16.0/21,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.24.0/22,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.28.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.30.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.31.0/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.31.128/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.31.160/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.31.176/29,1259229,1269750,,0,0,411001,18.5211,73.8502,20,
1.6.31.184/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.31.192/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.32.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.33.0/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.33.64/28,1259229,1269750,,0,0,411045,18.5211,73.8502,20,
1.6.33.80/28,1259229,1269750,,0,0,411001,18.5211,73.8502,20,
1.6.33.96/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.33.128/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.34.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.36.0/22,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.40.0/21,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.48.0/21,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.56.0/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.56.64/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.56.96/29,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.56.104/30,1270770,1269750,,0,0,,23.0276,72.5871,1000,
1.6.56.108/30,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.56.112/28,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.56.128/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.57.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.58.0/23,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.60.0/22,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.64.0/21,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.72.0/27,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.72.32/31,1275339,1269750,,0,0,400009,19.0748,72.8856,20,
1.6.72.34/31,6619347,1269750,,0,0,400703,19.0336,73.0118,20,
1.6.72.36/30,6619347,1269750,,0,0,400703,19.0336,73.0118,20,
1.6.72.40/29,6619347,1269750,,0,0,400703,19.0336,73.0118,20,
1.6.72.48/28,6619347,1269750,,0,0,400703,19.0336,73.0118,20,
1.6.72.64/26,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.72.128/25,1269750,1269750,,0,0,,21.9974,79.0011,1000,
1.6.73.0/24,1269750,1269750,,0,0,,21.9974,79.0011,1000,
